cdt_last_act,cdt_plan,cdt_score,cdt_steps,cdt_subseq_last_act,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_validity,cdt_validity,complementary_plan,correct_part,curr_last_act,curr_plan,curr_score,curr_steps,curr_validity,domain,executability,final_score,gt_plan,improved_cdt_plan,improved_cdt_validity,improved_plan,improved_subseq_cdt_plan,improved_subseq_cdt_validity,improved_subseq_plan,improved_subseq_validity,improved_validity,instance_id,model,nr_plan_trace,plan_trace,subseq_last_act,subseq_plan,subseq_score,subseq_steps,subseq_validity,task,trace_score,improved_steps
3,"['(unstack a c)', '(put-down a)', '(pick-up b)']",1.2083333333333333,1,3,"['(unstack a c)', '(put-down a)', '(pick-up b)']",1.0,1,False,False,['(stack b c)'],"['(unstack a c)', '(put-down a)', '(pick-up b)']",3,"['(unstack a c)', '(put-down a)', '(pick-up b)']",1.2083333333333333,1,False,blocksworld_3,True,1.2083333333333333,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)']",,,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)']",,,,,1,67,gemini_2_flash,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct'}",3,"['(unstack a c)', '(put-down a)', '(pick-up b)']",1.0,1,False,_state_tracking,1.0,0
3,"['(unstack b a)', '(put-down b)', '(pick-up a)']",1.2083333333333333,1,3,"['(unstack b a)', '(put-down b)', '(pick-up a)']",1.0,1,False,False,['(stack a b)'],"['(unstack b a)', '(put-down b)', '(pick-up a)']",3,"['(unstack b a)', '(put-down b)', '(pick-up a)']",1.2083333333333333,1,False,blocksworld_3,True,1.2083333333333333,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)']",,,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)']",,,,,1,53,claude_3-5_haiku,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct'}",3,"['(unstack b a)', '(put-down b)', '(pick-up a)']",1.0,1,False,_state_tracking,1.0,0
3,"['(unstack c a)', '(put-down c)', '(pick-up b)']",1.2083333333333333,1,3,"['(unstack c a)', '(put-down c)', '(pick-up b)']",1.0,1,False,False,['(stack b a)'],"['(unstack c a)', '(put-down c)', '(pick-up b)']",3,"['(unstack c a)', '(put-down c)', '(pick-up b)']",1.2083333333333333,1,False,blocksworld_3,True,1.2083333333333333,"['(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)']",,,"['(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)']",,,,,1,71,claude_3-5_haiku,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct'}",3,"['(unstack c a)', '(put-down c)', '(pick-up b)']",1.0,1,False,_state_tracking,1.0,0
3,"['(unstack a b)', '(stack a c)', '(pick-up b)']",1.2083333333333333,1,3,"['(unstack a b)', '(stack a c)', '(pick-up b)']",1.0,1,False,False,['(stack b a)'],"['(unstack a b)', '(stack a c)', '(pick-up b)']",3,"['(unstack a b)', '(stack a c)', '(pick-up b)']",1.2083333333333333,1,False,blocksworld_3,True,1.2083333333333333,"['(unstack a b)', '(stack a c)', '(pick-up b)', '(stack b a)']",,,"['(unstack a b)', '(stack a c)', '(pick-up b)', '(stack b a)']",,,,,1,19,gemini_2-5_flash,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct'}",3,"['(unstack a b)', '(stack a c)', '(pick-up b)']",1.0,1,False,_state_tracking,1.0,0
3,"['(unstack c a)', '(put-down c)', '(unstack a b)']",1.2083333333333333,1,3,"['(unstack c a)', '(put-down c)', '(unstack a b)']",1.0,1,False,False,['(stack a c)'],"['(unstack c a)', '(put-down c)', '(unstack a b)']",3,"['(unstack c a)', '(put-down c)', '(unstack a b)']",1.2083333333333333,1,False,blocksworld_3,True,1.2083333333333333,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(stack a c)']",,,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(stack a c)']",,,,,1,85,claude_3-5_haiku,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct'}",0,"['(unstack c a)', '(put-down c)', '(unstack a b)']",1.0,1,False,_state_tracking,1.0,0
3,"['(unstack a c)', '(put-down a)', '(pick-up b)']",1.2083333333333333,1,3,"['(unstack a c)', '(put-down a)', '(pick-up b)']",1.0,1,False,False,['(stack b c)'],"['(unstack a c)', '(put-down a)', '(pick-up b)']",3,"['(unstack a c)', '(put-down a)', '(pick-up b)']",1.2083333333333333,1,False,blocksworld_3,True,1.2083333333333333,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)']",,,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)']",,,,,1,67,gemini_2-5_flash,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct'}",3,"['(unstack a c)', '(put-down a)', '(pick-up b)']",1.0,1,False,_state_tracking,1.0,0
3,"['(unstack a c)', '(put-down a)', '(pick-up c)']",1.2083333333333333,1,3,"['(unstack a c)', '(put-down a)', '(pick-up c)']",1.0,1,False,False,['(stack c b)'],"['(unstack a c)', '(put-down a)', '(pick-up c)']",3,"['(unstack a c)', '(put-down a)', '(pick-up c)']",1.2083333333333333,1,False,blocksworld_3,True,1.2083333333333333,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)']",,,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)']",,,,,1,55,claude_3-7_sonnet,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct'}",3,"['(unstack a c)', '(put-down a)', '(pick-up c)']",1.0,1,False,_state_tracking,1.0,0
3,"['(unstack b a)', '(put-down b)', '(pick-up c)']",1.2083333333333333,1,3,"['(unstack b a)', '(put-down b)', '(pick-up c)']",1.0,1,False,False,['(stack c a)'],"['(unstack b a)', '(put-down b)', '(pick-up c)']",3,"['(unstack b a)', '(put-down b)', '(pick-up c)']",1.2083333333333333,1,False,blocksworld_3,True,1.2083333333333333,"['(unstack b a)', '(put-down b)', '(pick-up c)', '(stack c a)']",,,"['(unstack b a)', '(put-down b)', '(pick-up c)', '(stack c a)']",,,,,1,58,claude_3-7_sonnet,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct'}",3,"['(unstack b a)', '(put-down b)', '(pick-up c)']",1.0,1,False,_state_tracking,1.0,0
3,"['(unstack a c)', '(put-down a)', '(pick-up b)']",1.2083333333333333,1,3,"['(unstack a c)', '(put-down a)', '(pick-up b)']",1.0,1,False,False,[],"['(unstack a c)', '(put-down a)', '(pick-up b)']",3,"['(unstack a c)', '(put-down a)', '(pick-up b)']",1.2083333333333333,1,False,blocksworld_3,True,1.2083333333333333,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)']",,,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)']",,,,,1,67,gemini_2-5_pro,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct'}",3,"['(unstack a c)', '(put-down a)', '(pick-up b)']",1.0,1,False,_state_tracking,1.0,0
3,"['(pick-up c)', '(stack c a)', '(pick-up b)']",1.2083333333333333,1,3,"['(pick-up c)', '(stack c a)', '(pick-up b)']",1.0,1,False,False,['(stack b c)'],"['(pick-up c)', '(stack c a)', '(pick-up b)']",3,"['(pick-up c)', '(stack c a)', '(pick-up b)']",1.2083333333333333,1,False,blocksworld_3,True,1.2083333333333333,"['(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",,,"['(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",,,,,1,90,claude_3-7_sonnet,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct'}",3,"['(pick-up c)', '(stack c a)', '(pick-up b)']",1.0,1,False,_state_tracking,1.0,0
3,"['(unstack b a)', '(put-down b)', '(pick-up a)']",1.2083333333333333,1,3,"['(unstack b a)', '(put-down b)', '(pick-up a)']",1.0,1,False,False,['(stack a c)'],"['(unstack b a)', '(put-down b)', '(pick-up a)']",3,"['(unstack b a)', '(put-down b)', '(pick-up a)']",1.2083333333333333,1,False,blocksworld_3,True,1.2083333333333333,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a c)']",,,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a c)']",,,,,1,80,claude_3-7_sonnet,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct'}",3,"['(unstack b a)', '(put-down b)', '(pick-up a)']",1.0,1,False,_state_tracking,1.0,0
3,"['(pick-up b)', '(stack b a)', '(pick-up c)']",1.2083333333333333,1,3,"['(pick-up b)', '(stack b a)', '(pick-up c)']",1.0,1,False,False,['(stack c b)'],"['(pick-up b)', '(stack b a)', '(pick-up c)']",3,"['(pick-up b)', '(stack b a)', '(pick-up c)']",1.2083333333333333,1,False,blocksworld_3,True,1.2083333333333333,"['(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",,,"['(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",,,,,1,87,claude_3-7_sonnet,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct'}",3,"['(pick-up b)', '(stack b a)', '(pick-up c)']",1.0,1,False,_state_tracking,1.0,0
3,"['(unstack a c)', '(put-down a)', '(pick-up c)']",1.2083333333333333,1,3,"['(unstack a c)', '(put-down a)', '(pick-up c)']",1.0,1,False,False,['(stack c a)'],"['(unstack a c)', '(put-down a)', '(pick-up c)']",3,"['(unstack a c)', '(put-down a)', '(pick-up c)']",1.2083333333333333,1,False,blocksworld_3,True,1.2083333333333333,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",,,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",,,,,1,9,claude_3-5_haiku,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct'}",3,"['(unstack a c)', '(put-down a)', '(pick-up c)']",1.0,1,False,_state_tracking,1.0,0
3,"['(unstack c a)', '(put-down c)', '(unstack a b)']",1.2083333333333333,1,3,"['(unstack c a)', '(put-down c)', '(unstack a b)']",1.0,1,False,False,['(stack a c)'],"['(unstack c a)', '(put-down c)', '(unstack a b)']",3,"['(unstack c a)', '(put-down c)', '(unstack a b)']",1.2083333333333333,1,False,blocksworld_3,True,1.2083333333333333,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(stack a c)']",,,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(stack a c)']",,,,,1,85,claude_3-7_sonnet,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct'}",3,"['(unstack c a)', '(put-down c)', '(unstack a b)']",1.0,1,False,_state_tracking,1.0,0
3,"['(unstack c a)', '(put-down c)', '(pick-up b)']",1.2083333333333333,1,3,"['(unstack c a)', '(put-down c)', '(pick-up b)']",1.0,1,False,False,['(stack b a)'],"['(unstack c a)', '(put-down c)', '(pick-up b)']",3,"['(unstack c a)', '(put-down c)', '(pick-up b)']",1.2083333333333333,1,False,blocksworld_3,True,1.2083333333333333,"['(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)']",,,"['(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)']",,,,,1,71,claude_3-7_sonnet,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct'}",3,"['(unstack c a)', '(put-down c)', '(pick-up b)']",1.0,1,False,_state_tracking,1.0,0
3,"['(unstack a b)', '(put-down a)', '(pick-up b)']",1.2083333333333333,1,3,"['(unstack a b)', '(put-down a)', '(pick-up b)']",1.0,1,False,False,['(stack b c)'],"['(unstack a b)', '(put-down a)', '(pick-up b)']",3,"['(unstack a b)', '(put-down a)', '(pick-up b)']",1.2083333333333333,1,False,blocksworld_3,True,1.2083333333333333,"['(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b c)']",,,"['(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b c)']",,,,,1,70,claude_3-7_sonnet,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct'}",3,"['(unstack a b)', '(put-down a)', '(pick-up b)']",1.0,1,False,_state_tracking,1.0,0
3,"['(unstack a c)', '(put-down a)', '(pick-up b)']",1.2083333333333333,1,3,"['(unstack a c)', '(put-down a)', '(pick-up b)']",1.0,1,False,False,['(stack b c)'],"['(unstack a c)', '(put-down a)', '(pick-up b)']",3,"['(unstack a c)', '(put-down a)', '(pick-up b)']",1.2083333333333333,1,False,blocksworld_3,True,1.2083333333333333,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)']",,,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)']",,,,,1,67,claude_3-7_sonnet,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct'}",3,"['(unstack a c)', '(put-down a)', '(pick-up b)']",1.0,1,False,_state_tracking,1.0,0
4,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)']",1.1666666666666665,2,4,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)']",1.0,2,False,False,"['(pick-up b)', '(stack b c)']","['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)']",4,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)']",1.1666666666666665,2,False,blocksworld_3,True,1.1666666666666665,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",,,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",,,,,1,6,gemini_2-5_pro,"{0: 'position', 1: 'position', 2: 'position', 3: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct'}",4,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)']",1.0,2,False,_state_tracking,1.0,0
4,"['(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a c)']",1.1666666666666665,2,4,"['(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a c)']",1.0,2,False,False,"['(pick-up b)', '(stack b a)']","['(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a c)']",4,"['(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a c)']",1.1666666666666665,2,False,blocksworld_3,True,1.1666666666666665,"['(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",,,"['(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",,,,,1,81,gemini_2_flash,"{0: 'position', 1: 'position', 2: 'position', 3: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct'}",4,"['(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a c)']",1.0,2,False,_state_tracking,1.0,0
4,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)']",1.1666666666666665,2,4,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)']",1.0,2,False,False,"['(pick-up b)', '(stack b c)']","['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)']",4,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)']",1.1666666666666665,2,False,blocksworld_3,True,1.1666666666666665,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b c)']",,,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b c)']",,,,,1,78,gemini_2_flash,"{0: 'position', 1: 'position', 2: 'position', 3: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct'}",4,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)']",1.0,2,False,_state_tracking,1.0,0
